firNumber,incidentId,crimeType,date,description,severity,status,latitude,longitude,district,policeStation
FIR2024001,INC2024001,Armed Robbery,2024-01-15,Robbery at MG Road,high,reported,12.9716,77.5946,DIST001,PS001
FIR2024002,INC2024002,Residential Burglary,2024-01-16,Burglary at Indiranagar,medium,reported,12.9784,77.6408,DIST001,PS002
FIR2024003,INC2024003,Chain Snatching,2024-01-17,Chain Snatching in Koramangala,medium,reported,12.9352,77.6245,DIST001,PS001
FIR2024004,INC2024004,Homicide,2024-01-18,Murder in Whitefield,critical,reported,12.9698,77.7499,DIST002,PS003
FIR2024005,INC2024005,Drug Possession,2024-01-19,Drug Possession in Electronic City,low,reported,12.8399,77.6770,DIST001,PS004
FIR2024006,INC2024006,Armed Robbery,2024-01-20,Robbery in Jayanagar,high,reported,12.9304,77.5825,DIST001,PS005
FIR2024007,INC2024007,Cyber Fraud,2024-01-21,Cyber Fraud in Rajajinagar,medium,reported,12.9985,77.5543,DIST001,PS001
FIR2024008,INC2024008,Armed Robbery,2024-01-22,Armed Robbery in Malleswaram,high,reported,13.0030,77.5685,DIST001,PS006
FIR2024009,INC2024009,Residential Burglary,2024-01-23,Burglary in Indiranagar,medium,reported,12.9784,77.6408,DIST001,PS002
FIR2024010,INC2024010,Homicide,2024-01-24,Murder in Whitefield,critical,reported,12.9698,77.7499,DIST002,PS003
FIR2024011,INC2024011,Armed Robbery,2024-01-25,Robbery in Koramangala,high,reported,12.9352,77.6245,DIST001,PS001
FIR2024012,INC2024012,Drug Possession,2024-01-26,Drug Possession in Electronic City,low,reported,12.8399,77.6770,DIST001,PS004
FIR2024013,INC2024013,Residential Burglary,2024-01-27,Burglary in Jayanagar,medium,reported,12.9304,77.5825,DIST001,PS005
FIR2024014,INC2024014,Cyber Fraud,2024-01-28,Cyber Fraud in Rajajinagar,medium,reported,12.9985,77.5543,DIST001,PS001
FIR2024015,INC2024015,Armed Robbery,2024-01-29,Robbery in Malleswaram,high,reported,13.0030,77.5685,DIST001,PS006
FIR2024016,INC2024016,Homicide,2024-01-30,Murder in Indiranagar,critical,reported,12.9784,77.6408,DIST001,PS002
FIR2024017,INC2024017,Residential Burglary,2024-01-31,Burglary in Koramangala,medium,reported,12.9352,77.6245,DIST001,PS001
FIR2024018,INC2024018,Drug Possession,2024-02-01,Drug Possession in Whitefield,low,reported,12.9698,77.7499,DIST002,PS003
FIR2024019,INC2024019,Armed Robbery,2024-02-02,Robbery in Electronic City,high,reported,12.8399,77.6770,DIST001,PS004
FIR2024020,INC2024020,Cyber Fraud,2024-02-03,Cyber Fraud in Jayanagar,medium,reported,12.9304,77.5825,DIST001,PS005
